"CITY_NAME","YEAR","CRACK_INDEX","STATEFP","COUNTYFP","GEOID"
"AKRON","1989","0.055252","39","117","39117"
"ALBUQUE","1989","1.370035","35","001","35001"
"ALLENTOW","1989","0.963901","42","077","42077"
"AMARILLO","1989","0.202912","48","105","48105"
"ANAHEIM","1989","1.239147","06","059","06059"
"ANCHORA","1989","0.258494","02","020","02020"
"ANN_ARBO","1989","-0.00025","26","161","26161"
"ARLINGTO","1989","2.440252","48","439","48439"
"ATLANTA","1989","4.34395","13","049","13049"
"AURORA_C","1989","0.086217","08","001","08001"
"AUSTIN","1989","0.595983","48","209","48209"
"BALTIMOR","1989","2.15629","24","510","24510"
"BATON_RO","1989","1.296997","22","033","22033"
"BEAUMON","1989","0.160223","48","073","48073"
"BIRMINGH","1989","0.418514","01","073","01073"
"BOSTON","1989","3.661611","25","025","25025"
"BRIDGEPO","1989","1.142723","09","001","09001"
"BUFFALO","1989","2.686898","36","029","36029"
"CEDAR_RA","1989","-0.01335","19","113","19113"
"CHARLOTT","1989","2.273036","37","119","37119"
"CHATTANO","1989","0.064076","47","047","47047"
"CHESAPEA","1989","1.333727","51","550","51550"
"CHICAGO","1989","2.689393","17","075","17075"
"CINCINNA","1989","1.400728","39","047","39047"
"CLEVELAN","1989","2.934589","39","035","39035"
"COLORAD","1989","0.108778","08","041","08041"
"COLUMBU","1989","0.297931","39","035","39035"
"COLUMBU","1989","2.120227","39","035","39035"
"CORPUS_C","1989","0.044532","48","007","48007"
"DALLAS","1989","1.946304","48","085","48085"
"DAYTON","1989","0.720584","39","101","39101"
"DENVER","1989","1.322309","08","031","08031"
"DES_MOIN","1989","1.084045","19","113","19113"
"DETROIT","1989","1.938905","26","305","26305"
"DURHAM","1989","0.186054","37","063","37063"
"EL_PASO","1989","2.406964","48","041","48041"
"ERIE","1989","0.630978","42","029","42029"
"EUGENE","1989","0.066239","41","101","41101"
"EVANSVIL","1989","0.055171","18","163","18163"
"FLINT","1989","1.020516","26","049","26049"
"FORT_LAU","1989","0.667807","12","011","12011"
"FORT_WAY","1989","1.605456","18","003","18003"
"FORT_WOR","1989","2.484019","48","121","48121"
"FREMONT","1989","0.793851","06","001","06001"
"FRESNO","1989","1.481683","06","019","06019"
"GARLAND","1989","0.996211","48","085","48085"
"GARY","1989","0.241643","18","033","18033"
"GLENDALE","1989","0.064526","06","037","06037"
"GRAND_RA","1989","0.944161","26","001","26001"
"GREENSB","1989","0.971688","37","081","37081"
"HAMPTON","1989","1.170638","51","650","51650"
"HARTFOR","1989","0.605349","09","003","09003"
"HIALEAH","1989","0.190933","12","086","12086"
"HOLLYWO","1989","0.187259","12","011","12011"
"003","003","003","003","003","003003"
"HOUSTON","1989","1.150707","48","157","48157"
"HUNTINGT","1989","0.654517","06","059","06059"
"HUNTSVIL","1989","0.031746","01","083","01083"
"INDEPEND","1989","0.355991","29","027","29027"
"INDIANAPO","1989","0.832695","18","093","18093"
"IRVING","1989","0.050363","48","047","48047"
"JACKSON","1989","0.096541","26","071","26071"
"JACKSONV","1989","0.817406","12","031","12031"
"JERSEY_C","1989","2.652385","34","017","34017"
