"CITY_NAME","YEAR","CRACK_INDEX","STATEFP","COUNTYFP"
"AKRON",1980,0,NA,NA
"AKRON",1981,-0.00013,NA,NA
"AKRON",1982,0,NA,NA
"AKRON",1983,0,NA,NA
"AKRON",1984,0.000126,NA,NA
"AKRON",1985,0.006259,NA,NA
"AKRON",1986,0.001645,NA,NA
"AKRON",1987,0.027097,NA,NA
"AKRON",1988,0.05377,NA,NA
"AKRON",1989,0.055252,NA,NA
"AKRON",1990,0.006998,NA,NA
"AKRON",1991,0.024807,NA,NA
"AKRON",1992,0.034663,NA,NA
"AKRON",1993,0.045205,NA,NA
"AKRON",1994,0.026353,NA,NA
"AKRON",1995,0.007243,NA,NA
"AKRON",1996,0.052564,NA,NA
"AKRON",1997,0.023867,NA,NA
"AKRON",1998,0.100516,NA,NA
"AKRON",1999,0.055294,NA,NA
"AKRON",2000,0.046941,NA,NA
"ALBUQUE",1980,-0.00641,35,1
"ALBUQUE",1981,-0.01407,35,1
"ALBUQUE",1982,0.03024,35,1
"ALBUQUE",1983,-0.02892,35,1
"ALBUQUE",1984,-0.00888,35,1
"ALBUQUE",1985,0.019065,35,1
"ALBUQUE",1986,0.216786,35,1
"ALBUQUE",1987,0.278968,35,1
"ALBUQUE",1988,1.062396,35,1
"ALBUQUE",1989,1.370035,35,1
"ALBUQUE",1990,1.24349,35,1
"ALBUQUE",1991,0.945905,35,1
"ALBUQUE",1992,1.274741,35,1
"ALBUQUE",1993,1.556723,35,1
"ALBUQUE",1994,2.136293,35,1
"ALBUQUE",1995,1.545176,35,1
"ALBUQUE",1996,1.817131,35,1
"ALBUQUE",1997,1.944207,35,1
"ALBUQUE",1998,2.372433,35,1
"ALBUQUE",1999,3.370799,35,1
"ALBUQUE",2000,2.167679,35,1
"ALLENTOW",1980,-0.03329,NA,NA
"ALLENTOW",1981,-0.05238,NA,NA
"ALLENTOW",1982,0.038127,NA,NA
"ALLENTOW",1983,0,NA,NA
"ALLENTOW",1984,0.047537,NA,NA
"ALLENTOW",1985,0.157625,NA,NA
"ALLENTOW",1986,0.239576,NA,NA
"ALLENTOW",1987,0.348241,NA,NA
"ALLENTOW",1988,0.378171,NA,NA
"ALLENTOW",1989,0.963901,NA,NA
"ALLENTOW",1990,0.996687,NA,NA
"ALLENTOW",1991,1.226265,NA,NA
"ALLENTOW",1992,0.813312,NA,NA
"ALLENTOW",1993,1.012525,NA,NA
"ALLENTOW",1994,1.415404,NA,NA
"ALLENTOW",1995,1.542527,NA,NA
"ALLENTOW",1996,1.038031,NA,NA
"ALLENTOW",1997,1.175402,NA,NA
"ALLENTOW",1998,0.931896,NA,NA
"ALLENTOW",1999,0.884406,NA,NA
"ALLENTOW",2000,1.135644,NA,NA
"AMARILLO",1980,-0.00696,48,105
"AMARILLO",1981,-0.00917,48,105
"AMARILLO",1982,-0.02109,48,105
"AMARILLO",1983,-0.02094,48,105
"AMARILLO",1984,0.067253,48,105
"AMARILLO",1985,-0.0145,48,105
"AMARILLO",1986,-0.00035,48,105
"AMARILLO",1987,0.139478,48,105
"AMARILLO",1988,0.177214,48,105
"AMARILLO",1989,0.202912,48,105
"AMARILLO",1990,0.164728,48,105
"AMARILLO",1991,0.420242,48,105
"AMARILLO",1992,0.385303,48,105
"AMARILLO",1993,0.621709,48,105
"AMARILLO",1994,0.346429,48,105
"AMARILLO",1995,0.502221,48,105
"AMARILLO",1996,0.468101,48,105
"AMARILLO",1997,0.242495,48,105
"AMARILLO",1998,0.098413,48,105
"AMARILLO",1999,0.606411,48,105
"AMARILLO",2000,0.285995,48,105
"ANAHEIM",1980,-0.20624,6,59
"ANAHEIM",1981,0.048313,6,59
"ANAHEIM",1982,0.040753,6,59
"ANAHEIM",1983,-0.06392,6,59
"ANAHEIM",1984,0.182935,6,59
"ANAHEIM",1985,0.36234,6,59
"ANAHEIM",1986,0.513352,6,59
"ANAHEIM",1987,0.851175,6,59
"ANAHEIM",1988,0.993806,6,59
"ANAHEIM",1989,1.239147,6,59
"ANAHEIM",1990,0.786511,6,59
"ANAHEIM",1991,0.797687,6,59
"ANAHEIM",1992,1.271939,6,59
"ANAHEIM",1993,1.165207,6,59
"ANAHEIM",1994,1.066473,6,59
"ANAHEIM",1995,0.297462,6,59
"ANAHEIM",1996,0.725709,6,59
"ANAHEIM",1997,0.707022,6,59
"ANAHEIM",1998,1.277504,6,59
"ANAHEIM",1999,0.611468,6,59
"ANAHEIM",2000,0.419946,6,59
"ANCHORA",1980,-0.0022,NA,NA
"ANCHORA",1981,-0.02075,NA,NA
"ANCHORA",1982,-0.13475,NA,NA
"ANCHORA",1983,0.024691,NA,NA
"ANCHORA",1984,0.149588,NA,NA
"ANCHORA",1985,0.046703,NA,NA
"ANCHORA",1986,0.178146,NA,NA
"ANCHORA",1987,-0.05331,NA,NA
"ANCHORA",1988,0.155082,NA,NA
