"CITY_NAME","YEAR","CRACK_INDEX","STATEFP","COUNTYFP","GEOID"
"AKRON","2000","0.046941","39","117","39117"
"ALBUQUE","2000","2.167679","35","001","35001"
"ALLENTOW","2000","1.135644",NA,NA,NA
"AMARILLO","2000","0.285995","48","105","48105"
"ANAHEIM","2000","0.419946","06","059","06059"
"ANCHORA","2000","0.284282",NA,NA,NA
"ANN_ARBO","2000","-0.01608","26","161","26161"
"ARLINGTO","2000","0.784703","51","013","51013"
"ATLANTA","2000","3.995332","13","049","13049"
"AURORA_C","2000","0.588321","08","001","08001"
"AUSTIN","2000","0.661213","48","209","48209"
"BALTIMOR","2000","1.18365","24","510","24510"
"BATON_RO","2000","0.880111","22","033","22033"
"BEAUMON","2000","0.765869",NA,NA,NA
"BIRMINGH","2000","0.624521","01","073","01073"
"BOSTON","2000","3.128988","25","025","25025"
"BRIDGEPO","2000","2.208054","26","145","26145"
"BUFFALO","2000","3.21348","36","029","36029"
"CEDAR_RA","2000","0.059742",NA,NA,NA
"CHARLOTT","2000","0.433631","37","119","37119"
"CHATTANO","2000","0.522582",NA,NA,NA
"CHESAPEA","2000","0.942749",NA,NA,NA
"CHICAGO","2000","2.283949","17","075","17075"
"CINCINNA","2000","1.181024","39","047","39047"
"CLEVELAN","2000","0.837476","39","035","39035"
"COLORAD","2000","0.230955","08","041","08041"
"COLUMBU","2000","0.541386",NA,NA,NA
"COLUMBU","2000","2.198447",NA,NA,NA
"CORPUS_C","2000","0.156431","48","007","48007"
"DALLAS","2000","2.1034","48","085","48085"
"DAYTON","2000","1.578597","39","101","39101"
"DENVER","2000","2.785378","08","031","08031"
"DES_MOIN","2000","0.425779","19","113","19113"
"DETROIT","2000","2.057444","26","305","26305"
"DURHAM","2000","0.597018","23","001","23001"
"EL_PASO","2000","1.300001","48","041","48041"
"ERIE","2000","0.882327","08","013","08013"
"EUGENE","2000","0.421531","41","101","41101"
"EVANSVIL","2000","0.062527","27","035","27035"
"FLINT","2000","0.466028","26","049","26049"
"FORT_LAU","2000","0.640338","12","011","12011"
"FORT_WAY","2000","0.551877","18","003","18003"
"FORT_WOR","2000","1.448563","48","121","48121"
"FREMONT","2000","0.369493",NA,NA,NA
"FRESNO","2000","0.46933","06","019","06019"
"GARLAND","2000","0.845608",NA,NA,NA
"GARY","2000","0.04946","18","033","18033"
"GLENDALE","2000","0.074951","04","013","04013"
"GRAND_RA","2000","0.112423","26","001","26001"
"GREENSB","2000","1.345908","50","073","50073"
"HAMPTON","2000","2.06818",NA,NA,NA
"HARTFOR","2000","0.760182","09","003","09003"
"HIALEAH","2000","-0.01639","12","086","12086"
"HOLLYWO","2000","0.587059",NA,NA,NA
"HONOLUL","2000","0.087722",NA,NA,NA
"HOUSTON","2000","0.726327","48","157","48157"
"HUNTINGT","2000","0.293081","51","059","51059"
"HUNTSVIL","2000","0.032553","01","083","01083"
"INDEPEND","2000","0.203837",NA,NA,NA
"INDIANAPO","2000","0.857518","18","093","18093"
"IRVING","2000","0.408428","51","109","51109"
"JACKSON","2000",NA,"29","111","29111"
"JACKSONV","2000","0.599801","01","015","01015"
"JERSEY_C","2000","2.60437","34","017","34017"
"KANSAS_C","2000","1.750422","20","209","20209"
"KANSAS_C","2000","0.918754","20","209","20209"
"KNOXVILL","2000","0.598079","47","095","47095"
"LAFAYETT","2000","0.68211","22","055","22055"
"LAKEWOO","2000","0.151743",NA,NA,NA
"LANSING","2000","0.386686","19","005","19005"
"LAS_VEGA","2000","1.226259","32","019","32019"
"LEXINGTO","2000","0.19057","51","678","51678"
"LINCOLN","2000","0.281182",NA,NA,NA
"LITTLE_RO","2000","0.820054","05","119","05119"
"LIVONIA","2000","0.55729",NA,NA,NA
"LONG_BEA","2000","1.80687","06","037","06037"
"LOS_ANGE","2000","2.225495","06","037","06037"
"LOUISVILL","2000","0.665084",NA,NA,NA
"LUBBOCK","2000","0.487735","48","303","48303"
"MADISON","2000","0.349346","55","025","55025"
"MEMPHIS","2000","1.467746","47","117","47117"
"MESA","2000","0.243842","04","013","04013"
"MIAMI","2000","1.277606","12","086","12086"
"MILWAUKE","2000","0.790109","55","079","55079"
"MINNEAPO","2000","1.629513","27","053","27053"
"MOBILE","2000","1.895082","48","397","48397"
"MONTGOM","2000","0.814383","01","101","01101"
"NASHVILL","2000","0.356003","47","057","47057"
"NEW_ORLE","2000","1.216653","22","071","22071"
"NEW_YOR","2000","2.921796","36","005","36005"
"NEWARK","2000","6.409422","34","009","34009"
"NEWPORT","2000","0.935565","06","059","06059"
"NORFOLK","2000","0.502094",NA,NA,NA
"OAKLAND","2000","3.265024","06","001","06001"
"OKLAHOM","2000","1.271556","40","017","40017"
"OMAHA","2000","0.612417","31","035","31035"
"ORLANDO","2000","0.582841","12","059","12059"
"PASADENA","2000","0","06","037","06037"
"PATERSO","2000","3.947139","34","031","34031"
"PEORIA_IL","2000","0.113068",NA,NA,NA
"PHILADEL","2000","4.087146","42","101","42101"
"PHOENIX","2000","2.227271","04","013","04013"
